Pclass,Sex,Age,Fare,reel,predit,correct
3,0,20.5,7.25,0,0,1
1,1,29.69911764705882,89.1042,1,1,1
1,0,36.0,26.2875,1,0,0
1,0,29.69911764705882,221.7792,0,1,0
3,0,20.0,9.8458,0,0,1
1,0,71.0,34.6542,0,0,1
2,0,36.0,12.875,0,0,1
2,1,22.0,29.0,1,1,1
3,1,48.0,34.375,0,0,1
2,0,23.0,11.5,0,0,1
1,1,32.0,76.2917,1,1,1
1,1,63.0,77.9583,1,1,1
2,0,0.83,29.0,1,0,0
3,0,25.0,7.25,0,0,1
1,0,35.0,26.55,1,0,0
1,1,49.0,25.9292,1,1,1
1,0,24.0,79.2,0,1,0
3,1,29.69911764705882,14.4583,0,1,0
3,0,21.0,8.05,0,0,1
3,1,29.69911764705882,7.8792,1,1,1
3,0,29.69911764705882,15.2458,1,0,0
2,0,29.69911764705882,0.0,0,0,1
3,1,5.0,12.475,1,1,1
1,0,49.0,56.9292,1,0,0
3,1,15.0,14.4542,1,1,1
1,1,29.69911764705882,110.8833,1,1,1
3,0,29.0,7.775,0,0,1
3,0,42.0,7.55,0,0,1
3,1,18.0,17.8,0,1,0
3,0,21.0,8.4333,0,0,1
2,1,44.0,26.0,0,1,0
2,0,28.0,13.0,0,0,1
2,0,37.0,26.0,0,0,1
3,1,39.0,29.125,0,1,0
2,1,34.0,32.5,1,1,1
2,0,30.0,13.0,0,0,1
2,0,66.0,10.5,0,0,1
1,1,29.69911764705882,146.5208,1,1,1
3,0,43.0,8.05,0,0,1
3,0,29.69911764705882,8.7125,0,0,1
3,0,24.0,7.4958,0,0,1
3,0,18.0,7.7958,0,0,1
3,1,29.69911764705882,24.15,1,1,1
3,0,29.69911764705882,8.05,0,0,1
3,0,29.69911764705882,7.05,0,0,1
3,0,29.69911764705882,56.4958,1,0,0
3,1,29.69911764705882,7.7875,1,1,1
2,1,36.0,26.0,1,1,1
3,1,32.0,15.5,0,1,0
3,0,23.5,7.2292,0,0,1
1,0,29.69911764705882,26.55,1,0,0
2,0,39.0,13.0,0,0,1
1,1,29.69911764705882,82.1708,1,1,1
3,0,29.69911764705882,8.4583,0,0,1
1,0,65.0,61.9792,0,0,1
2,0,23.0,10.5,0,0,1
1,1,29.69911764705882,51.8625,1,1,1
3,0,22.0,7.8958,0,0,1
3,0,35.0,7.05,0,0,1
1,0,23.0,63.3583,1,1,1
2,1,18.0,13.0,1,1,1
1,0,36.0,26.3875,1,0,0
3,1,9.0,15.2458,0,1,0
3,0,17.0,7.125,0,0,1
3,0,29.69911764705882,7.225,0,0,1
3,1,38.0,31.3875,1,1,1
2,1,17.0,10.5,1,1,1
3,1,4.0,16.7,1,1,1
